old_entrez_gene_id	new_entrez_gene_id	date
2129	344191	20070118
2136	100287682	20100318
2142	4948	20050508
2144	4948	20080119
2154	3998	20050510
2174	646480	20050510
2179	2180	20050510
2183	2950	20050510
2190	2175	20050510
2211	100132417	20080617
2223	128	20050510
2225	343332	20050510
2226	392063	20050510
2238	645931	20091210
2240	55605	20060303
2265	100462812	20121211
2269	9968	20090112
2291	2290	20070606
2292	2290	20070611
2293	2290	20050502
2320	645	20050503
2325	342184	20050502
2333	9513	20050503
2336	257	20140206
2338	100422691	20101013
2340	283226	20050525
2344	219595	20091203
2347	219595	20050510
2349	390221	20050807
2385	2272	20050508
2439	867	20120907
2476	2475	20050503
2482	84548	20100322
2493	2919	20080314
2505	646362	20080123
2511	646362	20050503
2513	284764	20050503
2514	392437	20100410
2536	9636	20050510
2544	2542	20060629
2545	2542	20060629
2552	2553	20050510
2586	51083	20050510
2594	23193	20050509
2598	391077	20090129
2599	2616	20070119
2600	645024	20070622
2602	7180	20050502
2603	729403	20071006
2604	100128961	20090129
2605	442231	20071006
2606	391069	20070622
2607	389849	20070622
2608	645256	20071006
2610	100132601	20090116
2612	642259	20071006
2654	1738	20060401
2655	79017	20080918
2659	8200	20050502
2663	9563	20050509
2666	394	20071011
2680	2679	20070224
2682	121328	20050502
2704	2697	20050510
2708	127534	20050510
2711	201989	20100205
2718	130589	20140731
2725	10133	20050510
2726	136371	20141125
2755	401708	20071213
2756	392305	20050805
2758	9380	20081031
2795	79158	20050921
2807	645538	20081019
2808	391139	20081019
2809	644138	20100512
2818	221914	20050510
2836	1524	20050510
2839	347853	20050510
2851	10803	20050510
2881	257202	20050217
2883	441481	20111019
2924	171423	20050510
2927	145258	20050509
2943	730152	20100617
2985	390226	20060211
3011	8338	20050510
3016	8349	20050510
3019	126961	20050217
3022	8370	20050510
3025	708	20050510
3027	3033	20060908
3058	4948	20080119
3076	3075	20050510
3079	3078	20070127
3086	2767	20140206
3088	3973	20090816
3089	10166	20050509
3095	904	20090225
3100	642546	20090226
3102	284459	20050510
3103	342945	20050510
3114	646702	20090226
3168	340784	20050510
3179	729423	20090112
3180	6910	20050510
3194	140803	20050509
3243	6469	20050505
3245	6496	20050510
3246	7050	20050510
3256	3255	20080622
3264	55806	20050502
3271	6905	20060607
3277	9098	20050502
3278	79577	20140206
3279	79577	20050510
3282	1910	20050510
3285	391076	20101102
3286	440606	20101102
3287	441900	20101030
3288	128102	20101102
3289	391081	20101104
3296	643646	20070825
3302	10558	20050510
3318	653553	20080716
3319	653364	20080820
3325	3320	20060301
3328	7190	20060906
3330	3332	20081118
3331	645808	20070430
3333	3332	20081118
3334	345041	20081008
3335	645548	20081025
3345	6513	20141009
3348	55997	20140811
3353	100421479	20110117
3365	5818	20140731
3372	8284	20050502
3374	6329	20050502
3377	64127	20050502
3379	10020	20050510
3380	4620	20140206
3387	112476	20140622
3389	26154	20060607
3392	26154	20060607
3393	27019	20081205
3395	3620	20050510
3401	3630	20141125
3404	387082	20060607
3409	3559	20140803
3411	1493	20060607
3427	103	20060907
3432	7453	20050502
3435	8373	20050504
3436	3431	20050505
3450	1660	20050510
3462	158011	20101214
3468	646581	20100205
3470	392292	20100218
3471	100130671	20100121
3472	100130866	20091022
3473	360001	20090322
3477	2206	20050510
3506	3492	20131008
3509	3492	20131008
3518	3517	20091024
3526	339562	20090322
3528	2651	20050510
3533	644731	20060511
3545	91353	20071213
3555	7850	20050504
3564	1439	20050510
3571	157916	20070718
3582	100128449	20111005
3583	439945	20090226
3584	729486	20090226
3602	3560	20110602
3610	55342	20081018
3616	727833	20080314
3618	5002	20050510
3648	56652	20080817
3649	8517	20050510
3650	8517	20050510
3657	48	20050510
3666	2296	20050502
3668	442338	20060407
3677	3680	20050510
3701	3700	20050510
3711	8114	20050504
3715	182	20050510
3721	546	20110319
3722	1075	20060908
3723	6259	20050804
3724	6260	20061128
3731	2260	20060212
3733	128674	20110216
3740	3739	20050502
3771	6905	20060608
3774	3768	20050508
3789	145226	20060608
3793	392255	20110421
3794	6303	20060608
3807	100132285	20080611
3819	10748	20050502
3826	8085	20110421
3828	80781	20060608
3830	3799	20050510
3847	387264	20070804
3862	729252	20071006
3873	147228	20120225
3874	339241	20071120
3877	392371	20071006
3878	119722	20071006
3893	3854	20050510
3900	6351	20050510
3901	10578	20050510
3907	284217	20050510
3917	387867	20090227
3919	100421198	20101111
3922	645326	20070712
3926	51520	20050509
3928	11214	20050510
3941	100190799	20100727
3942	442013	20070620
3943	158222	20050812
3944	729666	20090226
3946	100289475	20100728
3951	51176	20050510
3966	2131	20081119
3967	9499	20060608
3968	4000	20061103
3969	8291	20050509
3970	8557	20050510
3971	22954	20050510
3979	3980	20090312
3994	9415	20050510
3999	84823	20050217
4002	4000	20100728
4006	55885	20050510
4011	6402	20050510
4020	80350	20050217
4021	7069	20100422
4022	9056	20050505
4024	6578	20110325
4027	3757	20050510
4028	287	20050510
4039	4041	20050510
4042	7804	20050510
4044	2317	20060608
4075	6510	20050510
4098	7975	20050510
4119	7851	20050818
4120	6445	20050507
4132	4130	20050510
4136	23532	20050510
4138	4137	20050504
4164	56922	20050502
4165	64087	20050503
4169	4582	20140913
4177	670	20050502
4180	79648	20050510
4181	284403	20110505
4186	5048	20070331
4196	401577	20100819
4197	2122	20090810
4198	6520	20050510
4202	203547	20090531
4203	55624	20060608
4220	79258	20050217
4229	961	20050509
4231	4566	20050510
4235	8823	20140811
4243	7048	20050217
4244	8029	20050502
4251	91851	20140201
4252	4330	20100803
4260	5728	20050510
4262	477	20050510
4263	6261	20050510
4268	3897	20050510
4272	4179	20050510
4275	4072	20050510
4276	100507436	20101110
4278	221549	20050510
4290	54903	20060212
4304	65108	20050510
4307	3052	20070105
4315	4327	20050505
4328	64386	20061110
4333	23405	20141126
4334	1890	20060203
4339	3172	20050510
4341	6927	20050503
4344	280637	20071005
4346	2023	20050509
4347	4625	20051014
4348	2120	20060608
4349	58	20060315
4365	23096	20141125
4367	10084	20141126
4368	3054	20141125
4373	24140	20060211
4374	11141	20081209
4376	57187	20150814
4377	8242	20141126
4380	4204	20060908
4382	23096	20170927
4383	6197	20060913
4385	11141	20060608
4386	6567	20080322
4393	170302	20060908
4394	5063	20050502
4396	170302	20060908
4398	170302	20060913
4399	11141	20050510
4400	57187	20150814
4401	170302	20060331
4403	170302	20060913
4407	170302	20060331
4408	24140	20060913
4409	347344	20060913
4410	9459	20050502
4411	5063	20060913
4415	546	20150806
4417	170302	20060331
4418	10084	20060913
4421	7102	20060714
4422	8905	20080322
4423	4983	20060714
4425	65109	20140201
4426	2182	20060714
4433	56979	20110329
4446	3685	20050510
4454	3675	20050510
4455	4059	20050510
4474	4684	20050217
4483	64374	20060608
4484	7046	20141126
4491	441771	20070203
4492	326343	20070203
4497	644314	20060310
4506	7491	20050508
4529	645652	20120207
4532	140851	20101110
4587	727897	20061014
4590	100129528	20121130
4592	3662	20050510
4623	84176	20050804
4631	4640	20050510
4652	51168	20050510
4662	23040	20050510
4663	7504	20140131
4667	689	20050510
4672	9131	20140131
4679	80025	20050510
4687	654817	20060919
4721	4704	20050510
4727	374291	20050510
4732	121441	20050510
4737	3301	20100422
4740	114991	20100729
4742	5630	20050510
4743	9118	20050510
4746	339396	20101105
4754	7170	20050804
4755	4703	20050510
4757	780	20050510
4765	401007	20080528
4767	100419029	20101026
4769	644637	20080528
4770	440225	20080716
4797	6551	20050510
4822	159296	20050510
4823	644524	20070922
4834	1728	20050510
4844	201288	20070922
4845	645740	20070922
4847	23019	20050509
4859	4858	20050510
4865	1184	20070901
4866	1184	20050506
4873	100128903	20091023
4876	10831	20110224
4890	6556	20050510
4903	5781	20050510
4906	5422	20141126
4918	780	20050510
4930	26232	20100422
4932	90167	20060906
4949	627	20060608
4950	100506658	20110405
4955	130497	20050509
4959	2492	20050510
4960	1896	20110402
4966	8481	20050510
4970	1277	20050510
4971	682	20050510
4979	2316	20050510
4980	2316	20050510
4984	4041	20050510
4989	10280	20050510
4996	390756	20050510
4997	390756	20050510
5006	94	20050510
5011	340990	20050217
5014	593	20081118
